class_id,person,safe_label,support,predicted,true_positive,false_positive,false_negative,accuracy,precision,recall,f1,mean_true_score
0,Aaron Eckhart,Aaron_Eckhart,10,10,9,1,1,0.900000,0.900000,0.900000,0.900000,0.806927
1,Abhishek Bachan,Abhishek_Bachan,4,2,2,0,2,0.500000,1.000000,0.500000,0.666667,0.689247
2,Adam Sandler,Adam_Sandler,11,12,10,2,1,0.909091,0.833333,0.909091,0.869565,0.869366
3,Adriana Lima,Adriana_Lima,7,6,5,1,2,0.714286,0.833333,0.714286,0.769231,0.722466
4,Alberto Gonzales,Alberto_Gonzales,13,13,13,0,0,1.000000,1.000000,1.000000,1.000000,0.888830
5,Alec Baldwin,Alec_Baldwin,12,11,10,1,2,0.833333,0.909091,0.833333,0.869565,0.784381
6,Alex Rodriguez,Alex_Rodriguez,7,18,6,12,1,0.857143,0.333333,0.857143,0.480000,0.645999
7,Ali Landry,Ali_Landry,4,6,4,2,0,1.000000,0.666667,1.000000,0.800000,0.719769
8,Alicia Keys,Alicia_Keys,15,15,14,1,1,0.933333,0.933333,0.933333,0.933333,0.875773
9,Alyssa Milano,Alyssa_Milano,13,13,9,4,4,0.692308,0.692308,0.692308,0.692308,0.675168
10,Anderson Cooper,Anderson_Cooper,14,14,14,0,0,1.000000,1.000000,1.000000,1.000000,0.910631
11,Angela Merkel,Angela_Merkel,15,16,15,1,0,1.000000,0.937500,1.000000,0.967742,0.939810
12,Angelina Jolie,Angelina_Jolie,88,94,84,10,4,0.954545,0.893617,0.954545,0.923077,0.873852
13,Anna Kournikova,Anna_Kournikova,13,12,11,1,2,0.846154,0.916667,0.846154,0.880000,0.767857
14,Anna Paquin,Anna_Paquin,4,3,2,1,2,0.500000,0.666667,0.500000,0.571429,0.571800
15,Antonio Banderas,Antonio_Banderas,10,9,8,1,2,0.800000,0.888889,0.800000,0.842105,0.693885
16,Ashley Judd,Ashley_Judd,10,12,9,3,1,0.900000,0.750000,0.900000,0.818182,0.786195
17,Ashton Kutcher,Ashton_Kutcher,14,15,14,1,0,1.000000,0.933333,1.000000,0.965517,0.886684
18,Audrey Tautou,Audrey_Tautou,8,9,8,1,0,1.000000,0.888889,1.000000,0.941176,0.797051
19,Avril Lavigne,Avril_Lavigne,15,14,13,1,2,0.866667,0.928571,0.866667,0.896552,0.799169
20,Barack Obama,Barack_Obama,17,20,16,4,1,0.941176,0.800000,0.941176,0.864865,0.875869
21,Ben Affleck,Ben_Affleck,13,11,9,2,4,0.692308,0.818182,0.692308,0.750000,0.663667
22,Ben Stiller,Ben_Stiller,6,5,5,0,1,0.833333,1.000000,0.833333,0.909091,0.737589
23,Beyonce Knowles,Beyonce_Knowles,11,11,10,1,1,0.909091,0.909091,0.909091,0.909091,0.725352
24,Bill Clinton,Bill_Clinton,11,11,10,1,1,0.909091,0.909091,0.909091,0.909091,0.789860
25,Billy Crystal,Billy_Crystal,4,2,2,0,2,0.500000,1.000000,0.500000,0.666667,0.529327
26,Bob Dole,Bob_Dole,3,2,2,0,1,0.666667,1.000000,0.666667,0.800000,0.595675
27,Brad Pitt,Brad_Pitt,82,97,77,20,5,0.939024,0.793814,0.939024,0.860335,0.860772
28,Brendan Fraser,Brendan_Fraser,7,4,4,0,3,0.571429,1.000000,0.571429,0.727273,0.702579
29,Bruce Willis,Bruce_Willis,9,10,8,2,1,0.888889,0.800000,0.888889,0.842105,0.723925
30,Cameron Diaz,Cameron_Diaz,14,13,13,0,1,0.928571,1.000000,0.928571,0.962963,0.767776
31,Carla Gugino,Carla_Gugino,5,6,4,2,1,0.800000,0.666667,0.800000,0.727273,0.497342
32,Carson Daly,Carson_Daly,2,1,1,0,1,0.500000,1.000000,0.500000,0.666667,0.540012
33,Cate Blanchett,Cate_Blanchett,15,14,13,1,2,0.866667,0.928571,0.866667,0.896552,0.726759
34,Celine Dion,Celine_Dion,6,4,3,1,3,0.500000,0.750000,0.500000,0.600000,0.685785
35,Charlize Theron,Charlize_Theron,15,15,12,3,3,0.800000,0.800000,0.800000,0.800000,0.769335
36,Chris Martin,Chris_Martin,1,2,1,1,0,1.000000,0.500000,1.000000,0.666667,0.691930
37,Christina Ricci,Christina_Ricci,14,14,13,1,1,0.928571,0.928571,0.928571,0.928571,0.850440
38,Christopher Walken,Christopher_Walken,4,5,4,1,0,1.000000,0.800000,1.000000,0.888889,0.773664
39,Cindy Crawford,Cindy_Crawford,7,3,2,1,5,0.285714,0.666667,0.285714,0.400000,0.577832
40,Claudia Schiffer,Claudia_Schiffer,5,5,4,1,1,0.800000,0.800000,0.800000,0.800000,0.861430
41,Clive Owen,Clive_Owen,17,15,15,0,2,0.882353,1.000000,0.882353,0.937500,0.790698
42,Colin Farrell,Colin_Farrell,11,8,8,0,3,0.727273,1.000000,0.727273,0.842105,0.706366
43,Colin Powell,Colin_Powell,12,11,10,1,2,0.833333,0.909091,0.833333,0.869565,0.753642
44,Cristiano Ronaldo,Cristiano_Ronaldo,19,18,18,0,1,0.947368,1.000000,0.947368,0.972973,0.858599
45,Daisy Fuentes,Daisy_Fuentes,2,1,1,0,1,0.500000,1.000000,0.500000,0.666667,0.540910
46,Daniel Craig,Daniel_Craig,15,14,14,0,1,0.933333,1.000000,0.933333,0.965517,0.881268
47,Daniel Radcliffe,Daniel_Radcliffe,82,84,79,5,3,0.963415,0.940476,0.963415,0.951807,0.897193
48,Danny Devito,Danny_Devito,4,3,3,0,1,0.750000,1.000000,0.750000,0.857143,0.717966
49,Dave Chappelle,Dave_Chappelle,3,2,2,0,1,0.666667,1.000000,0.666667,0.800000,0.851892
50,David Beckham,David_Beckham,13,12,12,0,1,0.923077,1.000000,0.923077,0.960000,0.762112
51,David Duchovny,David_Duchovny,20,25,16,9,4,0.800000,0.640000,0.800000,0.711111,0.797015
52,Denise Richards,Denise_Richards,10,10,8,2,2,0.800000,0.800000,0.800000,0.800000,0.703057
53,Denzel Washington,Denzel_Washington,9,11,9,2,0,1.000000,0.818182,1.000000,0.900000,0.858590
54,Diane Sawyer,Diane_Sawyer,5,4,4,0,1,0.800000,1.000000,0.800000,0.888889,0.591163
55,Donald Faison,Donald_Faison,3,2,2,0,1,0.666667,1.000000,0.666667,0.800000,0.819970
56,Donald Trump,Donald_Trump,10,10,10,0,0,1.000000,1.000000,1.000000,1.000000,0.901591
57,Drew Barrymore,Drew_Barrymore,14,10,8,2,6,0.571429,0.800000,0.571429,0.666667,0.657628
58,Dustin Hoffman,Dustin_Hoffman,6,5,4,1,2,0.666667,0.800000,0.666667,0.727273,0.626390
